"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","19","0","","0"
"0","E2E","0","Авторизация в SauceDemo","1","0","Авторизация - положительный сценарий","0"
